dia   ,|1  ,|2  ,|3  ,|4  ,|5  ,|6  ,|7  ,|8  ,|9  ,|10 ,|11 ,|12 ,|13 ,|14 ,|15 ,|16 ,|17 ,|18 ,|19 ,|20 ,|21 ,|22 ,|23 ,|24 ,|25 ,|26 ,|27 ,|28 ,|29 ,|30 ,|
turno ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|MT ,|
e1    ,| A0,| A0,| A0,| 00,| A0,| FF,| 0A,| 0A,| 0A,| 0A,| FF,| A0,| A0,| A0,| 0A,| 00,| 0A,| 0A,| 0A,| 0A,| 0A,| FF,| 00,| FF,| A0,| 00,| A0,| A0,| A0,| A0,|
e2    ,| 00,| 00,| 00,| 00,| FF,| A0,| A0,| 0A,| 00,| A0,| 00,| A0,| A0,| 0A,| FF,| A0,| 0A,| 0A,| 00,| A0,| 00,| A0,| A0,| 0A,| 0A,| 0A,| FF,| A0,| FF,| A0,|
e3    ,| 00,| A0,| 0A,| 00,| A0,| 0A,| 00,| 0A,| 0A,| 0A,| 00,| FF,| A0,| 0A,| 00,| A0,| A0,| 00,| 0A,| 00,| FF,| A0,| 00,| FF,| A0,| A0,| A0,| A0,| A0,| FF,|
e4    ,| A0,| A0,| A0,| A0,| A0,| 0A,| 0A,| 0A,| 00,| A0,| A0,| A0,| A0,| A0,| A0,| FF,| A0,| FF,| A0,| A0,| FF,| FF,| 00,| 0A,| 00,| A0,| A0,| A0,| A0,| A0,|
e5    ,| 00,| A0,| 0A,| 0B,| 0B,| 0A,| 0A,| 00,| FF,| B0,| 0A,| 00,| B0,| FF,| FF,| A0,| FF,| B0,| B0,| 00,| B0,| A0,| 00,| A0,| 0A,| 00,| 00,| 0B,| 0A,| 0A,|
e6    ,| B0,| A0,| B0,| A0,| B0,| A0,| FF,| B0,| A0,| 00,| A0,| FF,| A0,| FF,| B0,| B0,| 00,| B0,| 00,| 0A,| 00,| FF,| 0B,| 0B,| 0B,| 00,| A0,| 0A,| 0A,| 0A,|
e7    ,| A0,| A0,| 0A,| 0A,| 0A,| 00,| 0A,| 0A,| 00,| A0,| A0,| 00,| A0,| A0,| FF,| A0,| 0A,| FF,| FF,| 00,| A0,| 0A,| 00,| FF,| A0,| 00,| A0,| 0A,| 00,| 0A,|
e8    ,| 0A,| 0A,| FF,| A0,| 0A,| 0A,| 00,| A0,| 00,| FF,| A0,| A0,| A0,| FF,| 00,| A0,| A0,| A0,| A0,| 0A,| 0A,| 00,| A0,| 00,| A0,| 0A,| 0A,| 0A,| 00,| FF,|
e9    ,| A0,| 0A,| 00,| A0,| FF,| 00,| 0A,| 00,| 00,| 00,| 00,| A0,| FF,| A0,| 0A,| 0A,| 00,| 0A,| FF,| 0A,| FF,| A0,| A0,| A0,| A0,| A0,| 00,| 00,| A0,| A0,|
e10   ,| 0B,| 0B,| 00,| B0,| FF,| B0,| 00,| 0B,| 00,| 0B,| 00,| B0,| 00,| 00,| 0B,| 0B,| 0B,| 0B,| 0B,| FF,| FF,| B0,| 00,| 0B,| 00,| B0,| 0B,| FF,| B0,| B0,|
e11   ,| A0,| A0,| B0,| 00,| A0,| B0,| A0,| B0,| B0,| FF,| 00,| B0,| B0,| A0,| 00,| FF,| B0,| 0A,| 0B,| 0A,| 0A,| 0A,| 0A,| 00,| 0A,| 0A,| 0A,| FF,| A0,| FF,|
e12   ,| B0,| B0,| B0,| 00,| B0,| B0,| B0,| B0,| B0,| FF,| 00,| 0B,| 00,| B0,| 0B,| 00,| 0B,| 00,| FF,| B0,| FF,| B0,| B0,| B0,| 0B,| FF,| B0,| B0,| 0B,| 0B,|
