Employee,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
E1,M_A,M_A,0,T_A,0,F,M_A,M_A,T_A,T_A,F,0,T_A,T_A,0,0,M_A,T_A,T_A,T_A,0,F,T_A,F,M_A,T_A,0,0,M_A,T_A
E2,T_A,T_A,0,T_A,F,M_A,0,T_A,0,M_A,0,M_A,0,T_A,F,T_A,0,0,T_A,0,0,0,M_A,T_A,0,T_A,F,T_A,F,0
E3,T_A,0,M_A,T_A,T_A,0,0,0,M_A,T_A,T_A,F,T_A,T_A,0,M_A,0,T_A,0,0,F,M_A,0,F,M_A,M_A,0,T_A,0,F
E4,M_A,M_A,0,T_A,0,M_A,0,0,0,0,T_A,T_A,T_A,0,M_A,F,M_A,F,0,T_A,F,F,M_A,M_A,T_A,0,T_A,T_A,T_A,0
E5,M_A,T_B,T_A,T_A,T_A,T_B,T_A,0,F,M_B,0,M_A,T_A,F,F,0,F,T_A,0,T_B,0,M_B,M_B,M_A,M_B,0,T_B,T_B,0,M_A
E6,M_B,M_A,0,T_A,T_A,T_A,F,T_B,T_A,T_B,T_A,F,T_B,F,M_B,T_A,T_A,T_B,0,0,0,F,M_A,M_A,M_A,M_A,M_A,M_B,T_A,T_B
E7,0,M_A,M_A,T_A,T_A,T_A,T_A,T_A,0,M_A,0,0,M_A,0,F,M_A,T_A,F,F,M_A,M_A,M_A,M_A,F,0,0,0,M_A,M_A,T_A
E8,0,M_A,F,0,M_A,M_A,0,T_A,T_A,F,T_A,T_A,T_A,F,T_A,T_A,T_A,0,M_A,0,M_A,M_A,T_A,0,M_A,M_A,0,T_A,T_A,F
E9,0,0,M_A,0,F,T_A,T_A,0,0,M_A,T_A,0,F,M_A,T_A,0,M_A,0,F,0,F,T_A,0,0,M_A,M_A,T_A,0,M_A,T_A
E10,0,M_B,T_B,0,F,T_B,T_B,T_B,T_B,T_B,T_B,T_B,T_B,T_B,0,M_B,T_B,T_B,0,F,F,T_B,0,0,T_B,T_B,T_B,F,0,0
E11,M_B,M_A,M_B,0,0,T_B,0,M_A,M_B,F,M_A,M_A,M_A,T_B,0,F,M_B,T_B,0,0,M_A,M_B,M_B,0,T_A,0,0,F,M_A,F
E12,0,M_B,M_B,M_B,T_B,T_B,T_B,0,0,F,0,T_B,T_B,T_B,T_B,T_B,0,0,F,T_B,F,0,0,M_B,M_B,F,M_B,M_B,M_B,M_B
